,language,family,core inventory
210,Irish (Irish Gaelic) (Connacht (except Cois Fhairrge)),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
211,Irish (Irish Gaelic) (Connacht),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
212,Irish (Irish Gaelic) (Connemara dialect),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
213,Irish (Irish Gaelic) (Donegal),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
214,Irish (Irish Gaelic) (Munster),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
215,Irish (Irish Gaelic) (certain Donegal dialects),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
216,Irish (Irish Gaelic) (eastern area of Gweedore),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
217,Irish (Irish Gaelic) (except Donegal),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
218,Irish (Irish Gaelic) (in Clare),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
219,Irish (Irish Gaelic) (in Dunquin),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
220,Irish (Irish Gaelic) (in Gweedore),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
221,Irish (Irish Gaelic) (in Muskerry),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
222,Irish (Irish Gaelic) (in Ring),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
223,Irish (Irish Gaelic) (in South Connacht),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
224,Irish (Irish Gaelic) (in parts of Munster),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
225,Irish (Irish Gaelic) (some Munster dialects),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
226,Irula,DRAVIDIAN,"['p', 't̪', 't', 'ʈ', 'tʃ', 'k', 'b', 'd̪', 'd', 'ɖ', 'dʒ', 'ɡ', 'i', 'ɨ', 'ʉ', 'u', 'm', 'n', 'ɳ', 'e', 'ə', 'ɵ', 'o', 'a', 'r̪', 'r', 'ɽ', 'v', 'l', 'ɭ', 'j', '']"
227,Isoko (Uzere dialect),NIGER-CONGO (Edoid),"['p', 't̪', 't', 'k', 'ɓ̥ˠ', 'b', 'd̪', 'd', 'ɡ', 'ɡ͡b', 'i', 'u', 'f', 's', 'h', 'ɪ', 'ʊ', 'v', 'z', 'ɣ', 'ɣʷ', 'e', 'o', 'm', 'ɲ͡n̪', 'n', 'ŋʷ', 'ɛ', 'ɔ', 'l', 'a', 'ɾˡ', 'ʋ', 'ɹ', 'j', '']"
228,Italian,INDO-EUROPEAN (Italic),"['p', 't', 'c', 'k', 'b', 'd', 'ɟ', 'ɡ', 'i', 'u', 'f', 's', 'ʃ', 'e', 'o', 'v', 'ʒ', 'ɛ', 'ɔ', 'm', 'n', 'ɲ', 'a', 'l', 'ʎ', 'r', '']"
229,Izi,NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'u', 'pf', 'ts', 'ɪ', 'ʊ', 'bv', 'dz', 'e', 'o', 'ɸ', 's', 'x', 'ɛ', 'ɔ', 'v', 'z', 'ɣ', 'a', 'm', 'n', 'ŋ', 'ŋ͡m', 'l', 'w', 'ɹ', 'j', '']"
230,Jacaltec,MAYAN,"['p', 't', 'k', 'ʔ', 'tʼ', 'kʼ', 'qʼ', 'i', 'u', 'bʼ', 'e', 'o', 'a', 'ts', 'tʃ', 'ʈʂ', 'tsʼ', 'tʃʼ', 'ʈʂʼ', 'f', 's', 'ʃ', 'ʂ', 'χ', 'h', 'm', 'n', 'ŋ', 'l', 'r', 'w', 'j', '']"
231,Jamaican Creole (Southwestern Caribbean Creole English),CREOLE,"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'f', 's', 'ʃ', 'h', 'e', 'o', 'v', 'z', 'a', 'm', 'n', 'ŋ', 'l', 'iː', 'uː', 'r', 'aː', 'w', 'j', '']"
232,Japanese,JAPANESE,"['p', 't', 'k', 'iː', 'ɯː', 'b', 'd', 'ɡ', 'i', 'ɯ', 's', 'ʃ', 'h', 'eː', 'oː', 'z', 'e', 'o', 'm', 'n', 'aː', 'ɾ', 'a', 'j', 'ɰ', '']"
233,Jaqaru,AYMARAN,"['pʰ', 'tʰ', 'cʰ', 'kʰ', 'qʰ', 'p', 't', 'c', 'k', 'q', 'i', 'u', 'pʼ', 'tʼ', 'cʼ', 'kʼ', 'qʼ', 'a', 'tsʰ', 'cçʰ', 'ʈʂʰ', 'ts', 'cç', 'ʈʂ', 'tsʼ', 'cçʼ', 'ʈʂʼ', 's', 'ɕ', 'ç', 'm', 'n', 'ɲ', 'ŋ', 'l', 'ʎ', 'ɾ', 'w', 'j', '']"
234,Javanese,AUSTRONESIAN,"['p', 't', 'ʈ', 'tʃ', 'k', 'ʔ', 'b', 'd', 'ɖ', 'dʒ', 'ɡ', 'i', 'u', 's', 'h', 'e', 'o', 'm', 'n', 'ɲ', 'ŋ', 'ʌ', 'l', 'ɛ', 'ɔ', 'r', 'a', 'w', 'j', '']"
235,Jiru (Wuyar),NIGER-CONGO,"['p', 't', 'k', 'ts', 'b', 'd', 'ɟ', 'ɡ', 'ɡ͡b', 'i', 'u', 'f', 'θ', 's', 'ʃ', 'h', 'ɨ', 'v', 'ð', 'z', 'ʒ', 'ɛ', 'ɔ', 'm', 'n', 'ɲ', 'ŋ', 'N?', 'a', 'ɾ', 'l', 'w', 'j', '']"
236,Jukun (Jukun Takum),NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'ts', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'ĩ', 'u', 'ũ', 'dz', 'e', 'ẽ', 'o', 'õ', 'f', 's', 'h', 'a', 'ã', 'v', 'z', 'm', 'n', 'ŋ', 'r', 'w', 'j', '']"
237,Jukun (Jukun Takum) (Wukari dialect),NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'ts', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'ĩ', 'u', 'ũ', 'dz', 'e', 'ẽ', 'o', 'õ', 'f', 's', 'h', 'a', 'ã', 'v', 'z', 'm', 'n', 'ŋ', 'r', 'w', 'j', '']"
238,Kabardian,NORTH CAUCASIAN,"['p', 't', 'ts', 'c', 'kʷ', 'q', 'qʷ', 'ʔ', 'ʔʷ', 'b', 'd', 'dz', 'ɟ', 'ɡʷ', 'ɨ', 'pʼ', 'tʼ', 'tsʼ', 'cʼ', 'kʼʷ', 'qʼ', 'qʼʷ', 'ə', 'f', 's', 'ʃ', 'ɬ', 'ɕ', 'x', 'xʷ', 'χ', 'χʷ', 'ħ', 'h', 'a', 'v', 'z', 'ʒ', 'ɮ', 'ʑ', 'ɣ', 'ʁ', 'ʁʷ', 'fʼ', 'ʃʼ', 'ɬʼ', 'm', 'n', 'r', 'w', '']"
239,Kalenjin,NILO-SAHARAN,"['p', 't', 'cç', 'k', 'i', 'iː', 'u', 'uː', 's', 'ɪ', 'ɪː', 'ʊ', 'ʊː', 'm', 'n', 'ɲ', 'ŋ', 'e', 'eː', 'o', 'oː', 'l', 'ɛ', 'ɛː', 'ɔ', 'ɔː', 'r', 'a', 'aː', 'ɑ', 'ɑː', 'j', 'w', '']"
240,"Kalenjin, Nandi",NILO-SAHARAN,"['p', 't', 'c', 'k', 'i', 'u', 's', 'ɪ', 'ʊ', 'm', 'n', 'ɲ', 'ŋ', 'e', 'o', 'l', 'ɛ', 'ɔ', 'r', 'a', 'w', 'j', 'a̞', '']"
241,Kalispel (dialect of Kalispel-Pend d'Oreille),SALISHAN,"['p', 't', 'tɬ', 'kʷ', 'q', 'qʷ', 'pʼ', 'tʼ', 'tɬʼ', 'kʼʷ', 'qʼ', 'qʼʷ', 'i', 'ə', 'u', 'ts', 'tʃ', 'e', 'a', 'o', 'tsʼ', 'tʃʼ', 's', 'ʃ', 'ɬ', 'xʷ', 'χ', 'χʷ', 'h', 'm', 'n', 'mʼ', 'n’', 'l', 'lʼ', 'j', 'w', 'jʼ', 'wʼ', '']"
242,Kamba,NIGER-CONGO (Bantu),"['t', 'k', 'b', 'd', 'ɡ', 'ɢ', 'i', 'u', 'θ', 's', 'ɪ', 'ʊ', 'β', 'ð', 'ʒ', 'ɣ', 'e', 'ə', 'ɵ', 'o', 'æ', 'a', 'm', 'n', 'n̻', 'l', 'w', 'j', 'ɥ', 'ɰ', '']"
243,Kana (Khana),NIGER-CONGO,"['p', 't', 'k', 'kʷ', 'k͡p', 'ĩ', 'ũ', 'b', 'd', 'dʒ', 'ɡ', 'ɡʷ', 'ɡ͡p', 'i', 'u', 'f', 's', 'h', 'e', 'o', 'm', 'n', 'ɲ', 'ŋ', 'ŋʷ', 'ɛ̃', 'ɔ̃', 'r', 'ɛ', 'ɔ', 'l', 'ã', 'w', 'j', 'a', '']"
244,Kanakuru,AFRO-ASIATIC (Chadic),"['p', 't', 'k', 'kʷ', 'b', 'd', 'dʷ', 'ɟ', 'ɡ', 'ɡʷ', '\uf180b', 'ⁿd', 'ⁿɟ', '\uf182ɡ', '\uf182ɡʷ', 'i', 'ə', 'u', 'ɓ', 'ɓʷ', 'ɗ', 'ɗʷ', 'e', 'a', 'o', 'ç', 'çʷ', 'ɣ', 'm', 'n', 'ɲ', 'ŋ', 'l', 'w', 'ɹ', 'j', '']"
245,Kannada,DRAVIDIAN,"['pʰ', 't̪ʰ', 'ʈʰ', 'kʰ', 'p', 't̪', 'ʈ', 't̻ʃ̻', 'k', 'iː', 'uː', 'bʰ', 'd̪ʰ', 'ɖʰ', 'ɡʰ', 'i', 'u', 'b', 'd̪', 'ɖ', 'd̻ʒ̻', 'ɡ', 'eː', 'oː', 'f', 's', 'ʂ', 's̻', 'h', 'e', 'o', 'z', 'aː', 'm', 'n', 'ɳ', 'æ', 'a', 'r', 'w', 'l̪', 'ɭ', 'j', '']"
246,Kanuri,NILO-SAHARAN,"['p', 't', 'tʃ', 'k', 'ʔ', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'f', 's', 'ʃ', 'h', 'e', 'ə', 'o', 'z', 'ʌ', 'm', 'n', 'a', 'l', 'r', 'w', 'j', '']"
247,Kapampangan,AUSTRONESIAN,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'i', 'u', 's', 'e', 'o', 'a', 'm', 'n', 'ŋ', 'l', 'ɺ', 'w', 'j', '']"
248,Karanga (Central dialect),NILO-SAHARAN,"['p', 't', 'k', 'b', 'd', 'ɡ', 'i', 'y', 'u', 'f', 's', 's̪v', 'ʃ', 'x', 'e', 'o', 'v', 'z', 'z̪v', 'ʒ', 'ɣ', 'ɦ', 'a', 'm', 'n', 'ŋ', 'r', 'w', 'j', '']"
249,Karanga (Victoria dialect),NILO-SAHARAN,"['p', 't', 'k', 'b', 'd', 'ɡ', 'i', 'y', 'u', 'f', 's', 's̪v', 'ʃ', 'x', 'e', 'o', 'v', 'z', 'z̪v', 'ʒ', 'ɣ', 'ɦ', 'a', 'm', 'n', 'ŋ', 'r', 'w', 'j', '']"
250,Karao,AUSTRONESIAN,"['p', 't', 'tʃ', 'k', 'ʔ', 'b', 'd', 'dʒ', 'i', 'ɨ', 'o', 'ɡʷ', 'a', 's', 'm', 'n', 'ŋ', '']"
251,Karimojong (Karamojong),NILO-SAHARAN,"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'y', 'u', 's', 'ɪ', 'ɵ', 'ʊ', 'ð', 'z', 'ɣ', 'e', 'o', 'm', 'n', 'ɲ', 'ŋ', 'ɛ', 'œ', 'ɔ', 'l', 'a', 'ɑ', 'r', 'w', 'j', '']"
252,Karo Batak,AUSTRONESIAN,"['p', 't̪', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'ɯ', 'u', 's', 'h', 'e', 'ə', 'o', 'm', 'n', 'ŋ', 'a', 'l', 'r', 'w', 'j', '']"
253,Kashaya,HOKAN,"['pʰ', 't̪ʰ', 'tʰ', 'cʰ', 'kʰ', 'qʰ', 'p', 't̪', 't', 'c', 'k', 'q', 'ʔ', 'i', 'u', 'pʼ', 't̪ʼ', 'tʼ', 'cʼ', 'kʼ', 'qʼ', 'e', 'o', 's', 'ʃ', 'h', 'a', 'sʼ', 'mʰ', 'nʰ', 'm', 'n', 'mʼ', 'n’', 'wʰ', 'lʰ', 'jʰ', 'w', 'l', 'j', 'wʼ', 'lʼ', 'jʼ', '']"
254,Kashmiri,Indo-Aryan,"['pʰ', 'pʲʰ', 'tʰ', 'tʲʰ', 'ʈʰ', 'ʈʲʰ', 'kʰ', 'kʰʲ', 'p', 'pʲ', 't', 'tʲ', 'ʈ', 'ʈʲ', 'k', 'kʲ', 'ĩː', 'ɨ̃ː', 'ũ', 'ũː', 'b', 'bʲ', 'd', 'dʲ', 'ɖ', 'ɖʲ', 'ɡ', 'ɡʲ', 'i', 'iː', 'ɨ', 'ɨː', 'u', 'uː', 'tsʰ', 'tsjʰ', 'cçʰ', 'ẽ', 'ẽː', 'ə̃', 'ə̃ː', 'õ', 'õː', 'ts', 'tsʲ', 'cç', 'e', 'eː', 'ə', 'əː', 'o', 'oː', 'ɟʝ', 'ã', 'ãː', 'ɔ̃', 's', 'sʲ', 'ç', 'h', 'hʲ', 'a', 'aː', 'ɔ', 'ɔː', 'z', 'zʲ', 'm', 'mʲ', 'n', 'nʲ', 'l', 'lʲ', 'ɾ', 'ɾʲ', 'ʋ', 'ʋʲ', 'j', '']"
255,"Kayah Li, Eastern",SINO-TIBETAN,"['pʰ', 'tʰ', 'tʃʰ', 'kʰ', 'p', 't', 'tʃ', 'k', 'ʔ', 'i', 'ɯ', 'u', 'b', 'd', 'e', 'ɤ', 'o', 's', 'h', 'ɛ', 'ʌ', 'ɔ', 'm', 'n', 'ŋ', 'a', 'w', 'l', 'j', 'r', '']"
256,Kedang,AUSTRONESIAN,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'i', 'i̞', 'u', 'u̞', 's', 'h', 'ɛ', 'ɛ̞', 'o', 'o̞', 'v', 'æ', 'æ̞', 'a', 'a̞', 'm', 'n', 'ŋ', 'l', 'r', 'j', '']"
257,Kharia,AUSTRO-ASIATIC,"['pʰ', 'tʰ', 'ʈʰ', 'tʃʰ', 'kʰ', 'p', 't', 'ʈ', 'tʃ', 'k', 'bʰ', 'dʰ', 'ɖʰ', 'dʒʰ', 'ɡʰ', 'i', 'u', 'b', 'd', 'ɖ', 'dʒ', 'ɡ', 'e', 'o', 's', 'h', 'a', 'm', 'n', 'ɲ', 'ŋ', 'l', 'r', 'ɽ', 'w', 'j', '']"
258,Khmer,AUSTRO-ASIATIC,"['p', 't', 'c', 'k', 'ʔ', 'b', 'd', 'i', 'ɯ', 'u', 'f', 's', 'h', 'e̝', 'ə̝', 'v', 'ʒ', 'e', 'ə', 'o', 'm', 'n', 'ɲ', 'ŋ', 'ɛ', 'ɔ', 'r', 'ɑ', 'ɒ', 'l', '']"
259,Khmuʔ,AUSTRO-ASIATIC,"['p', 't', 'c', 'k', 'ʔ', 'b', 'd', 'ɟ', 'ɡ', 'i', 'ɨ', 'u', 'm', 'n', 'ɲ', 'ŋ', 'e', 'ə', 'o', 's', 'h', 'ɛ', 'a', 'ɔ', 'l', 'w', 'r', 'j', '']"
260,Kickapoo,ALGIC,"['p', 't', 'tʃ', 'k', 'θ', 's', 'h', 'i', 'o', 'm', 'n', 'ɛ', 'a', 'w', 'j', '']"
261,Kihungan,NIGER-CONGO (Bantu),"['pʰ', 'tʰ', 'kʰ', 't', 'k', 'b', 'd', 'ɡ', 'i', 'u', 'f', 's', 'h', 'ɛ', 'ɔ', 'v', 'z', 'a', 'm', 'n', 'ŋ', 'l', 'r', 'w', 'j', '']"
262,Kilivila/Kiriwina,AUSTRONESIAN,"['p', 't', 'k', 'b', 'd', 'ɡ', 'pʷ', 'kʷ', 'i', 'u', 'bʷ', 'ɡʷ', 'e', 'o', 's', 'a', 'β', 'm', 'n', 'ŋ', 'ei', 'oi', 'mʷ', 'eu', 'ou', 'r', 'ai', 'l', 'au', 'w', 'j', '']"
263,Kimatuumbi,NIGER-CONGO (Bantu),"['p', 't', 'tʃ', 'k', 'ɓ', 'ɗ', 'ʄ', 'ɠ', 'i̝', 'u̝', 's', 'i', 'u', 'ɛ', 'ɔ', 'm', 'n', 'ɲ', 'ŋ', 'a', 'l', 'w', 'j', '']"
264,Kinnauri,SINO-TIBETAN,"['pʰ', 'tʰ', 'ʈʰ', 'kʰ', 'p', 't', 'ʈ', 'k', 'b', 'd', 'ɖ', 'ɡ', 'tsʰ', 'tʃʰ', 'i', 'u', 'ts', 'tʃ', 'e', 'ə', 'o', 'dz', 'dʒ', 'ɔ', 'a', 's', 'ʃ', 'h', 'z', 'ʒ', 'r', 'l', 'm', 'n', 'ɳ', 'ɲ', 'ŋ', 'w', 'j', '']"
265,Kinyamwezi (Nyamwezi),NIGER-CONGO (Bantu),"['p', 't', 'cʃ', 'k', 'ɲ̥cʃ', 'i', 'u', 'b', 'd', 'ɟ', 'ɡ', 'ɪ', 'ʊ', '\uf180b', 'ⁿd', 'ⁿɟ', '\uf182ɡ', 'e', 'o', 'f', 's', 'ʃ', 'h', 'a', 'ɱ̥f', 'n̥s', 'ɲ̥ʃ', 'v', 'z', '\uf180v', 'ⁿz', 'm', 'n', 'ɲ', 'ŋ', 'm̥', 'n̥', 'ɲ̥', 'ŋ̥', 'β', 'l', 'j', 'w', '']"
266,Kinyarwanda (Rwanda),NIGER-CONGO (Bantu),"['p', 't', 'c', 'k', 'd', 'ɟ', 'ɡ', 'i', 'u', 'pf', 'ts', 'tʃ', 'e', 'o', 'f', 's', 'ʃ', 'ɕ', 'x', 'a', 'β', 'v', 'z', 'ʒ', 'm', 'n', 'ɲ', 'r', 'j', 'w', '']"
267,Kiowa,KIOWA TANOAN,"['pʰ', 't̪ʰ', 'kʰ', 'p', 't̪', 'k', 'ʔ', 'i', 'u', 'pʼ', 't̪ʼ', 'kʼ', 'e', 'o', 'b', 'd̪', 'ɡ', 'a', 'ɔ', 'ts', 'tsʼ', 'ĩ', 'ũ', 's', 'h', 'ẽ', 'õ', 'z', 'ã', 'ɔ̃', 'm', 'n̪', 'l̪', 'j', '']"
268,Kirghiz,ALTAIC (Turkic),"['p', 't̪', 'ts', 'tʃ', 'q', 'b', 'd̪', 'dʒ', 'ɢ', 'i', 'y', 'ɨ', 'u', 'f', 's', 'ʃ', 'x', 'e', 'ø', 'a', 'o', 'β', 'z', 'ʒ', 'm', 'n', 'ŋ', 'l', 'r', 'j', '']"
269,Kiribati,AUSTRONESIAN,"['t', 'k', 'b', 'i', 'u', 'v', 'e', 'o', 'm', 'n', 'ŋ', 'a', 'r', 'w', 'ʔ', '']"
